component_id,component_name,controls,assessment_type,assessment_method,assessment_description,assessment_id,parameter_count,parameters
containers-kubernetes,Kubernetes Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Red Hat OpenShift on IBM Cloud is accessible only by using private endpoints,rule-2325054a-c338-474a-9740-0b7034487e40,0,[]
messagehub,Event Streams,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Event Streams can be accessed only through a private endpoint,rule-762180a3-95e1-462b-a7ca-7995ca0dfb7c,1,"[{""parameter_name"":""check_enforced"",""parameter_display_name"":""check for cbr enforcement"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
appid,App ID,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether App ID redirect URIs are not using localhost or 127.0.0.1,rule-f4d30138-01c1-409d-a469-fa99a23f2fbd,0,[]
appid,App ID,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether App ID redirect URIs are not using wildcards (*),rule-6e0c618d-523d-4352-a1d1-12bb9905b914,0,[]
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether all virtual server instances have at least one Virtual Private Cloud (VPC) security group attached,rule-65f42d91-d537-4532-a2c8-c5cd377500a7,0,[]
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether all network interfaces of a virtual server instance have at least one Virtual Private Cloud (VPC) security group attached,rule-9e16b8a4-1255-474e-a8a3-afed67de2627,0,[]
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Servers for VPC instance has the minimum # interfaces,rule-c0314fad-f377-465e-9f16-fa5aa3d5ebbe,1,"[{""parameter_name"":""vm_nic_count"",""parameter_display_name"":""IBM Cloud Network Interfaces count"",""parameter_type"":""numeric"",""parameter_default_value"":0}]"
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Servers for VPC instance doesn't have a floating IP,rule-7cf9deab-b418-4374-9e10-a13d217166bb,1,"[{""parameter_name"":""exclude_floating_ip_list"",""parameter_display_name"":""Exclude exclude the IP spoofing"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Servers for VPC instance has all interfaces with IP-spoofing disabled,rule-898ff49d-1979-4b70-9a79-d303c88dea63,1,"[{""parameter_name"":""exclude_ip_spoofing_check"",""parameter_display_name"":""Exclude interfaces with IP-spoofing from VPC"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
is.security-group,Security Group for VPC,"[""AC-4(0)"",""CM-7(a)"",""SC-7(a)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) security groups have inbound ports that are open only to permitted IP addresses,rule-28271605-31bb-4efa-b0ef-5f51adc77d90,1,"[{""parameter_name"":""inbound_allowed_list"",""parameter_display_name"":""Enter the IP/CIDR list allowed for VPC inbound"",""parameter_type"":""ip_list"",""parameter_default_value"":0}]"
is.security-group,Security Group for VPC,"[""AC-4(0)"",""CM-7(a)"",""SC-7(a)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) security groups have outbound ports that are open only to permitted IP addresses,rule-c981bedc-1526-448c-836c-10b0e3a2b812,1,"[{""parameter_name"":""outbound_allowed_list"",""parameter_display_name"":""Enter the IP/CIDR list allowed for VPC Outbound"",""parameter_type"":""ip_list"",""parameter_default_value"":0}]"
is.subnet,Subnet,"[""AC-4(0)"",""SC-7(a)"",""SC-7(c)"",""SC-7(4)(a)"",""SC-7(5)(0)"",""SC-7(10)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud (VPC) has no subnet with public gateway attached,rule-c92a1ac3-6f9a-4fb1-9cb8-57d312679020,1,"[{""parameter_name"":""excluded_subnets"",""parameter_display_name"":""Subnet(s) name"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
is.security-group,Security Group for VPC,"[""AC-4(0)"",""SC-7(a)"",""SC-7(b)"",""SC-7(c)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether a security group other than the default for Virtual Private Cloud is attached to all endpoints,rule-ea8660d1-c322-4adb-8dc2-e0b77b6dc9fb,0,[]
atracker,Activity Tracker event routing,"[""AC-4(0)"",""AU-4(0)"",""AU-11(0)"",""SI-12(0)""]",automated,ibm-cloud-rule,Check whether Cloud Object Storage quota enforcement is off for buckets that are configured to use Activity Tracker Event Routing,rule-275792d1-3d48-4a82-a95b-1f5a96f4f980,0,[]
apprapp,App Configuration,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether App Configuration can be accessed only through a private endpoint,rule-1d0a1c93-b89f-432e-af25-758ae517a7ba,0,[]
container-registry,Container Registry,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Container Registry can be accessed only through a private endpoint,rule-87b52247-ec12-4e84-b328-d00491301e16,0,[]
containers-kubernetes,Kubernetes Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Kubernetes Service can be accessed only through a private endpoint,rule-56c515ef-4d2b-42e2-aa62-df4b37eab801,1,"[{""parameter_name"":""check_enforced"",""parameter_display_name"":""check for cbr enforcement"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
directlink,Direct Link,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Direct Link can be accessed only through a private endpoint,rule-94048ffe-f910-4ff2-881f-50df9005c0a2,0,[]
event-notifications,Event Notifications,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Event Notifications can be accessed only through a private endpoint,rule-c9dfee2f-6283-43ce-9337-4eaacaa3313c,1,"[{""parameter_name"":""check_enforced"",""parameter_display_name"":""check for cbr enforcement"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
iam-groups,IAM Access Groups Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether IAM access groups can be accessed only through a private endpoint,rule-0051b1c6-bee9-4e04-87e2-300e2c145104,0,[]
iam-identity,IAM Identity Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether IAM identities can be accessed only through a private endpoint,rule-0cddf009-8620-47e2-add9-e7609d82a221,0,[]
is.flow-log-collector,Flow Logs for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Flow Logs for VPC can be accessed only through a private endpoint,rule-a4841766-a395-41be-8a64-b51e85168fab,0,[]
is.load-balancer,Load Balancer for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Load Balancer for VPC can be accessed only through a private endpoint,rule-b5a6bedd-16b0-4a21-bb01-04d70d48a752,0,[]
is.network-acl,Network ACL,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC network access control lists can be accessed only through a private endpoint,rule-eaff5bf5-7754-4218-8cb7-ae87ec8fdc7f,0,[]
is.public-gateway,Public Gateway,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC public gateways can be accessed only through a private endpoint,rule-3ead3fb3-9156-4d93-971c-7b782ceb00ae,0,[]
is.security-group,Security Group for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC security groups can be accessed only through a private endpoint,rule-02ad5735-93ba-4229-9d10-70dd48d0f96c,0,[]
is.snapshot,Block Storage Snapshots for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Block Storage Snapshots for VPC can be accessed only through a private endpoint,rule-bf187b2f-0d3b-48f2-a5a7-cab0c0788c43,0,[]
is.subnet,Subnet,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC subnets can be accessed only through a private endpoint,rule-f33e4a5e-3297-4ec1-91b6-5f902fe87e75,0,[]
is.volume,Block Storage for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Block Storage for VPC can be accessed only through a private endpoint,rule-23aca5fe-3659-4b4d-a965-daad23ce2a01,0,[]
is.vpc,Virtual Private Cloud,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Cloud can be accessed only through a private endpoint,rule-9d963fd1-c56c-45ad-976e-96a45899b576,0,[]
is.vpn,VPN for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPN for VPC can be accessed only through a private endpoint,rule-2a1b103a-4ef3-416e-822a-abf556f8dbae,0,[]
schematics,Schematics,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Schematics can be accessed only through a private endpoint,rule-3d59273d-8ed1-4767-8112-c3f95ce09c3e,0,[]
secrets-manager,Secrets Manager,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Secrets Manager can be accessed only through a private endpoint,rule-c26980c7-5fae-47b7-ad2a-e96e87cf28fc,1,"[{""parameter_name"":""check_enforced"",""parameter_display_name"":""check for cbr enforcement"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
transit,Transit Gateway,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Transit Gateway can be accessed only through a private endpoint,rule-b426a552-33c4-4b8d-8e71-659e06a45024,0,[]
user-management,User Management,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether User Management can be accessed only through a private endpoint,rule-7601aadc-cce6-4929-b3d2-26c4ba7e05ad,0,[]
messagehub,Event Streams,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Event Streams,rule-7f249933-a745-462c-aa6b-fcde8fbba826,0,[]
cloud-object-storage,Cloud Object Storage,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Cloud Object Storage,rule-78c2061b-b8fd-43ca-862f-582ab911c800,0,[]
containers-kubernetes,Kubernetes Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Kubernetes Service,rule-94242843-07b4-496b-ac86-540aed2f74da,0,[]
hs-crypto,Hyper Protect Crypto Services,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Hyper Protect Crypto Services,rule-7ce216fc-90ee-4f61-8f3b-70d00321fe97,0,[]
apprapp,App Configuration,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for App Configuration,rule-466f9d3c-6e3c-4e2a-aa53-d6120018da83,0,[]
container-registry,Container Registry,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Container Registry,rule-08a4e6b2-45f7-456e-a9a9-0010ed2f72a3,0,[]
directlink,Direct Link,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Direct Link,rule-c0d4d0e2-f014-46fa-9be1-8c03e59b443b,0,[]
event-notifications,Event Notifications,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Event Notifications,rule-9090851b-2577-4b2d-b790-d7c97a75681e,0,[]
iam-groups,IAM Access Groups Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for IAM access groups,rule-f88e215f-bb33-4bd8-bd1c-d8a065e9aa70,0,[]
iam-identity,IAM Identity Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for IAM identities,rule-ff00ff6c-61d2-4a94-8de8-b150b4d35aab,0,[]
is.flow-log-collector,Flow Logs for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list Flow Logs for VPC,rule-e3981f0e-89f1-44c2-bf3c-05c280f3c93c,0,[]
